COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
z12qv3vybobijlzot04cjvqwxrnvvlzrs50,Unitedstates America,2015-05-23T02:13:15.643000,"Getting too 1billion views, holy moly.!!!﻿",0
z13rzhjaxxr3z1t4504ccvlp1uqnddvqoyg0k,Kate Love,2015-05-23T01:14:31.812000,Best song﻿,0
LneaDw26bFvjY8Hcx4VMm_TW6lDgVntTQMvU8NjWnEU,FaZe MinEz,,SUBSCRIBE TO ME! I MAKE MUSIC!,1
z12zz5eqkxqfzxcof04cjfow2lf5c53hbcc,Nader sheckler,2015-05-22T23:24:03.588000,#1 song in world even in 2015﻿,0
z12agzlqdsjwthnkc23sfxaofvjoevvx204,Lily Barboza,2015-05-22T22:36:11.416000,Hi loving it﻿,0
LneaDw26bFtE0-kLDaaiizhZVUyP1tE0FLTPo6TPFPY,Amir bassem,,subscribe me if u love eminem,1
z12wddhwuqintd14y04cif5i5z3vxjfwd5s,Elsa Ekokobe Rønning,2015-05-22T22:19:43.707000,Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0
z12scbmwdyaogtjcc223gjn4dpzmerkt3,Angie Schear,2015-05-22T16:01:46.636000,This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,0
z13gdxtwjrjoczd5h04cejcqqpedxxoyn34,Aleesha Hoover,2015-05-22T14:44:13.619000,Love the video ﻿,0
z13affyr3pbbxv0ur235g3dptufrtb5zl04,Manikencheto Metodiev,2015-05-22T13:13:00.927000,Hello I&#39;m from Bulgaria﻿,0
LneaDw26bFuH6iFsSrjlJLJIX3qD4R8-emuZ-aGUj0o,Amir bassem,,if u love rihanna subscribe me,1
z12jutrbiwf4x3mn4224ht3bsn3bwrfqz04,Laighla Owens-Teague,2015-05-22T12:37:59.803000,Eminem rap can be easy for a boy but I can do that﻿,0
LneaDw26bFuH6iFsSrjlJLJIX3qD4R8-emuZ-aGUj0o,Amir bassem,,if u love rihanna subscribe me,1
LneaDw26bFspwHUoVH2c1_LONmdspcoJ2HoRzSx0cV8,Jason Viens,,CHECK OUT MY MUSIC VIDEO ON MY CHANEL!!!,1
LneaDw26bFulIEwMLpMhW9hdZ7Zlfu8GwVEpN5x1LXc,killtheclockhd,,check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;,1
LneaDw26bFsZ8_-MJ2YdPL4dt9_QKyP6RI_K_Gt7jIM,LaMusician,,could you guys please check out my channel for hiphop beats?,1
z13wxtdpeznid12et23ogtd4zoyvzbnoz04,Sonny Carter,2015-05-22T11:46:35.988000,I love this song sooooooooooooooo much﻿,0
LneaDw26bFuKSv_W4OOCnX-bIBR37W0G13MKHZrFVzI,Terry-Lee Mackenney,,everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1
z13ucdta5ub5djl1d235wndifoybg5lkt,Amie Rutledge,,Check out this video on YouTube:﻿,1
LneaDw26bFtALaOnhQgvfdsxEfR5GGMiiqg8sneY-xg,Drake Gagne,,Hey guys I&#39;m 87 cypher im 11 years old and Rap is my life I recently made my second album desire ep . please take a moment to check out my album on YouTube thank you very much for reading every like comment and subscription counts,1
z13ryrrbkny0czdvv23vizoopmmmgxtax04,Angie Medina,2015-05-22T10:58:24.072000,Eminem - Love the way you lie ♥ ♥ ♥﻿,0
LneaDw26bFusJ2z8NldBy-Z5iwzOQ6CPi1ryYyOhzD4,Drake Gagne,,Hey guys ready for more 87 Cyphers back check out my video on YouTube. NEW ALBUM IS OUT CHECK IT OUT. MORE MUSIC TOMORROW THANKS FOR READING,1
LneaDw26bFtI-0_UfYJ5VmhFKI63wbPsqzmdZkuvXd4,Andrew Guasch,,Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive,1
