content,category
saya salut sma pak jokowi benar benar nyata kerja nya makin hari makin maju pak jokowi pasti menang tak perlu disegani tak perlu di takuti negara yang penting tentram ga bikin ulah dengan me m pererat tali persaudaraan antar negara dan terus bangun pertahanan seperti pak jokowi ini cerdas saya bangga dengan pak jokowi dengan kerja nyata pertahanan yang kuat dan banyak teman pasti akan  di segani dengan sendirinya pak de jokowi terbaik,0
saya pilih bapak prabowo subianto karena beliau tidak jauh beda dengan mantan presiden ri almarhum bapak soeharto tegas punya jiwa me m impin adil juga bijaksana yang pasti ber juang untuk kemakmuran rakyatnya dan di segani oleh negara tetengga juga manca negara ,0
dari papua jokowi 6 periode kalaupun boleh maju trus pak indonesia maju papua maju sila ke 5 keadilan sosial bagi seluruh rakyat indonesia yang setuju like,0
saya sokong prabowo walaupun pada mulanya saya pernah suka sama jokowi sekarang saya tak suka jokowi perkotak kati kan  agama islam kenapa baca al quran dlm bahasa jawa? me ngapa adzan mau di perlahan kan ? me ngapa lgbt mau diakui? lgbt sepatutnya dicegah diobati bukan  dibiakan  tetapi malang saya orang malaysia saya tidak boleh me ngundi tapi alhamdulillah malaysia sudah ganti president ayo rakyat indonesia kita ubah jika kita cari agama dunia kita dapat seiring kalau kita cari dunia agama sama dunia terkubur ,0
kalau kinerja presiden sekarang bagus ngapain juga harus saya coba yang lain iya kalau kerjanya benar kalau tidak???!! dalam 3 tahun saja me m impin sudah banyak sekali bukti nyata kerja beliau apa lagi seperti daerah saya yang dekat ber batasan dengan malaysia jalan semua me rata aspal mulus tidak jalan tanah lagi jalan lebar tidak sempit lagi dan gedung perbatasan yang modern tidak kayak  kan dang ayam lagi bandara yang super me gah tidak kayak  kan dang sapi lagi dulu kepala kami nunduk malu me lihat malaysia sekarang kepala kami bisa tegap me lihat me reka!! semua ber es sesuai target tanpa mangarak!!!! hanya pak jokowi pemimpin yang puluhan kali sering datang ketempat daerah saya yang kmren jangan kan  prisiden yang datang anak buahnya saja ogah me lihat kami!! bismillah salam 2 periode pak!,0
prabowo adalah orang yang penyabar pantang me nyerah pantang mundur semangat terus dalam me ncalon kan  presiden walaupun kalah beliau tetap nyapres yang bantu jokowi jadi guber nur prabowo jangan me leceh kan !! hidup prabowo,0
tahun ini guber nur dari partai pengusung jokowi kalah telak bosss artinya rakyat tidak milih lagi jokowi soalnya udah cacat janji sama rakyat yang dulu janjinya kalau terpilih jadi presiden 2014 dia tidak nai kan  harga kebutuhan pokok dan bbm tapi buktinya sebulan me njabat eh bbm di nai kan  ber dampak semua bahan pokok ikut naik saya ga milih dia lagi deh sudah cukup sekali saya di bohongin ga mau lagi di bohongin ke dua kalinya terserah sama rakyat luas apa mau kena bohongnya pak jokowi lagi apa tidak kalau mau ia silakan  milih lagi biar barang dan bbm di nai kan  dan usaha atau pendapatan tambah susah ,0
jokowi 2 periode yang setuju like,1
presiden ku tetap pak jokowi semangat pak jokowi sukses terus pak yang dukung pak jokowi like dan komen ,1
like untuk prabowo komen untuk jokowi,1
jokowi yang setuju menang like,1
#2019 tetap jokowi yang suka like,1
jokowi mana likenya,1
tetep prabowo singa asia tegas ber ani dan wibawa,0
kelihatan me m bangunnya kelihatan juga hutangya negara cebong ga mikir pikiranya cetek,0
prabowo!! prabowo!! besok presiden 2019,0
prabowo banyak kasus nya dan tak terselesai kan  sampai sekarang bisa jadi kalau prabowo jadi presiden bisa kembali ke jaman peme rintahan suharto apapun di sembunyi kan  dari rakyat ,0
jokowiiiii jokowiiiii jokowiiiii lagi,0
jokowi munafik penipu pembohongan,0
pada sehat semua kah mau sampai kapan kalian adu bacot di sosme d mau sampai kapan kalian hujat saudara anda sendiri saling hina saling ejek mau sampai kapan ga perlu di tunjuk kan  simpan dalam hati pilihan anda cukup timses sama relawan saja yang adu argume n dukung capresnya kita tugasnya cuman coblos dan jangan percaya hoax prabowo dan jokowi adalah putra terbaik bangsa indonesia ga mungain beliau mau me nghancur kan  negara indonesia kalau pun ada yang mau me nghancur kan  bangsa indonesia pasti kena azab sama gusti allah sudahlah cukup nikmati saja pesta demokrasi,0
jokowi yes,0
jokowi dong,0
pilihan saya tetep pak jokowi,0
prabowo presiden kita yes,0
me tro tv toh kirain chanel apa tadi,0
sugiono tetap nome r wahid,1
pak prabowo like,1
orang gila gila pilih prabowo lagi,0
ganti ah bosen,0
wong ndeso pilih pak dhe jokowi,0
dukungan rakyat terbesar terhadap peme rintah saat ini di dunia adalah di indonesia sekitar 80% sy yakin pilihan hati saya menang pak dek jokowi,0
jangan lupa subscribe ke channel ini trgxracing,1
